Recipient Name,Recipient DBA,File Number,Recipient Address,Recipient City,Recipient State,Recipient Zip,Recipient County,Recipient EIN,Grant Description,Fiscal Year Awarded,Award Amount,Grant Dureation in Years,Recipient Phone,Grant Subject 1,Grant Subject 2,Grant Subject 3,Support Strategy 1,Support Code Rollup 1,Support Strategy 2,Support Code Rollup2,Support Strategy 3,Support Code Rollup 3,Geographic Areas Served by Grant    ,Populations Served by Grant,transaction_type,Award Type,Initiative Name,Portfolio,Org Mission Statement
Grantmakers for Effective Organizations,,18010924,"1725 DeSales Street, NW - Ste 404, NW, 2nd Floor",Washington,DC,20036,,01-0669150,For annual membership support for this organization that works to improve grantmaking practices around the world,2018 ,"$15,000 ",one year,2028981840,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,
Grantmakers of Oregon and SW Washington,,17050659,PO Box 6381,Portland,OR,97228,Multnomah,91-1798108,"To build the capacity of nonprofits and funders to engage in policy advocacy through a training partnership of the Alliance for Justice, Grantmakers of Oregon and SW Washington and the Nonprofit Association of Oregon",2018 ,"$7,500 ",one year,5032266340,SD000000 - Philanthropy,SD030000 - Nonprofits,,UJ0200 - Conferences,Project Support,"UK0000 - Policy, Advocacy And Systems Reform",Project Support,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"GRANTMAKERS of Oregon and Southwest Washington is one of 32 regional associations across the country.  While each regional association is a distinct entity reflecting its geographic reach, we all share some common traits that serve the funding community:

        * We connect a diverse membership""large, small, private, public, corporate, community, family, new, seasoned;
        * Through our networks, we collectively hold local intelligence on issues and practices;
        * Locally, nationally and internationally, we move information efficiently and effectively;
        * And, we all value and nurture a culture of sharing."
Grantmakers of Oregon and SW Washington,,18010922,PO Box 6381,Portland,OR,97228,Multnomah,91-1798108,For annual membership and program support for this organization that works to promote effective philanthropy in Oregon and Southwest Washington,2018 ,"$14,940 ",one year,5032266340,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"GRANTMAKERS of Oregon and Southwest Washington is one of 32 regional associations across the country.  While each regional association is a distinct entity reflecting its geographic reach, we all share some common traits that serve the funding community:

        * We connect a diverse membership""large, small, private, public, corporate, community, family, new, seasoned;
        * Through our networks, we collectively hold local intelligence on issues and practices;
        * Locally, nationally and internationally, we move information efficiently and effectively;
        * And, we all value and nurture a culture of sharing."
Guidestar USA,,17050652,4801 Courthouse Street - Ste 220,Williamsburg,VA,23188-2678,,54-1774039,For annual support,2018 ,$500 ,one year,2026377605,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"To revolutionize philanthropy and nonprofit practice by providing information that advances transparency, enables users to make better decisions, and encourages charitable giving."
Hispanics in Philanthropy,,18010921,"414 13th Street, Suite 200",Oakland,CA,94612,,94-3040607,"For annual membership support for this organization that works to strengthen Latino equity, leadership and voice in the U.S. and the Americas",2018 ,"$6,000 ",one year,4158370427,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PE050000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,HIP invests in Latino leaders and communities to build a more prosperous and vibrant America and Latin America.
Humboldt Area Foundation,,17110828,990 Front Street,Crescent City,CA,95531,,23-7310660,To support community relief and disaster preparedness planning in Curry County following the Chetco Bar fire,2018 ,"$25,000 ",one year,7074422993,SJ060400 - Disaster Relief,SJ060000 - Disasters And Emergency Management,,UN0000 - Program Development,Project Support,,,,,2001704,"PG030200, PR00001",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Wild Rivers Community Foundation, an affiliate of Humboldt Area Foundation serves all of Curry and Del Norte Counties. WRCF promotes and encourages generosity, leadership and inclusion to strengthen our communities."
Immigration Counseling Service,,17090761,519 SW Park Avenue - Ste 610,Portland,OR,97205,Multnomah,93-0696480,"To support a collaboration between Immigration Counseling Service of Oregon, Ecumenical Ministries of Oregon, Sponsors Organized to Assist Refugees and Catholic Charities Immigration Legal Services, to assist immigrant communities with removal defense information and legal representation; this grant is made as part of the Oregon Immigrant and Refugee Funders Collaborative, addressing critical and time-sensitive issues facing immigrants and refugees",2018 ,"$50,000 ",one year,5032211689,SS090300 - Immigrant Services,SJ040000 - Legal Services,SR000000 - Human Rights,UN0000 - Program Development,Project Support,,,,,7007708,PG010000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,ICS believes everyone has a right to reputable legal counsel and representation.  Our non-profit law firm is dedicated to improving the lives of Oregon's immigrant communities through access to affordable legal services and educational forums.
James F. & Marion L. Miller Foundation,,17090760,"520 SW Yamhill Street, Suite 520",Portland,OR,97204,Multnomah,03-0373895,To support the work of an Oregon arts funders collaboration,2018 ,"$3,000 ",one year,5035463191,SA010300 - Arts Administration,SD000000 - Philanthropy,,UJ0000 - Network Building And Collaboration,Project Support,UM0200 - Program Evaluations,Project Support,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The James F. and Marion L. Miller Foundation, an independent private foundation, was established in 2002 to enhance the quality of life of Oregonians through support of the Arts and Education."
McKenzie River Gathering Foundation,MRG Foundation,17090764,PO Box 12489,Portland,OR,97212,Multnomah,93-0691187,For participation at the Philanthropy Northwest 2017 conference,2018 ,"$1,500 ",one year,5032891517,SD000000 - Philanthropy,,,UJ0200 - Conferences,Project Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,The MRG Foundation inspires people to work together for justice and mobilizes resources for Oregon communities as they build collective power to change the world.
McKenzie River Gathering Foundation,MRG Foundation,17040641,PO Box 12489,Portland,OR,97212,Multnomah,93-0691187,"To establish a collaborative rapid response fund, the Oregon Immigration and Refugee Funders Collaborative, to address critical and time-sensitive issues facing immigrants and refugees",2018 ,"$15,000 ",two years,5032891517,SS090300 - Immigrant Services,,,UJ0000 - Network Building And Collaboration,Project Support,UN0000 - Program Development,Project Support,,,7007708,"PE000000, PG010000",TA00 - Cash Grants,Grant,,Meyer-Designated Program,The MRG Foundation inspires people to work together for justice and mobilizes resources for Oregon communities as they build collective power to change the world.
Mission Investors Exchange,,18031078,107 Spring St.,Seattle,WA,98104,,47-5593271,For 2018 membership and operations,2018 ,"$6,500 ",one year,2063168292,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Mission Investors Exchange is where philanthropic innovators share ideas, tools and experiences to increase the impact of their capital. We are a national membership organization of foundations and mission investing organizations."
Muslim Educational Trust,,17040638,P.O. Box 283,Portland,OR,97207,Multnomah,93-1151949,To bridge divides in Oregon through education and dialogue about pressing civil rights issues,2018 ,"$1,000 ",one year,5035796621,SA040000 - Cultural Awareness,,,UA0000 - General Support,Operating Support,,,,,7007708,PF030000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Our mission is to enrich the public’s understanding of Islam and dispel common myths and stereotypes, while serving the Muslim community’s educational, social, and spiritual needs in order to develop generations of proud and committed Muslims who will lead our community to the fore front of bridge building dialogue, faith-based community service, and stewardship of Earth and humanity."
Muslim Educational Trust,,17090762,P.O. Box 283,Portland,OR,97207,Multnomah,93-1151949,"To respond to the current and imminent bias threats by engaging Oregonians to help build informed, united, resilient communities that can challenge racism and bigotry; this grant is made as part of the Oregon Immigrant and Refugee Funders Collaborative, addressing critical and time-sensitive issues facing immigrants and refugees",2018 ,"$20,000 ",one year,5035796621,SR040000 - Antidiscrimination,SR040100 - Immigrants' Rights,SK040100 - Civic Participation,UN0000 - Program Development,Project Support,UJ0100 - Convening,Project Support,,,7007708,"PF030000, PG010000, PG010400",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Our mission is to enrich the public’s understanding of Islam and dispel common myths and stereotypes, while serving the Muslim community’s educational, social, and spiritual needs in order to develop generations of proud and committed Muslims who will lead our community to the fore front of bridge building dialogue, faith-based community service, and stewardship of Earth and humanity."
National Committee for Responsive Philanthropy,,17050660,"1900 L Street NW, Suite 825",Washington,DC,20036,,52-1072749,"For annual support of this organization that pushes philanthropy to do more for those who are marginalized, underserved and disenfranchised",2018 ,"$12,000 ",one year,,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,"PE000000, PG030200",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"NCRP promotes philanthropy that serves the public good, is responsive to people and communities with the least wealth and opportunity, and is held accountable to the highest standards of integrity and openness."
Native American Youth and Family Center,,17070699,5135 NE Columbia Boulevard,Portland,OR,97218,Multnomah,93-1141536,To strengthen this organization working to enhance the diverse strengths of Native youth and families through cultural identity and education,2018 ,"$20,000 ",one year,5032888177,SS040000 - Family Services,SS050100 - Youth Services,,UD0100 - Technical Assistance,Capacity Building,,,,,1002699,PE060300,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Founded by the community, for the community, NAYA is a family of numerous tribes and voices who are rooted in sustaining tradition and building cultural wealth. We provide culturally-specific programs and services that guide our people in the direction of personal success and balance through cultural empowerment. Our continuum of lifetime services create a wraparound, holistic healthy environment that is Youth Centered, Family Driven, Elder Guided.

Our mission is to enhance the diverse strengths of our youth and families in partnership with the community through cultural identity and education."
Native American Youth and Family Center,,17070699,5135 NE Columbia Boulevard,Portland,OR,97218,Multnomah,93-1141536,To strengthen the financial management capacity and systems of this organization working to enhance the diverse strengths of Native youth and families through cultural identity and education,2018 ,"$125,000 ",two years,5032888177,SS040000 - Family Services,SS050100 - Youth Services,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,1002699,PE060300,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Founded by the community, for the community, NAYA is a family of numerous tribes and voices who are rooted in sustaining tradition and building cultural wealth. We provide culturally-specific programs and services that guide our people in the direction of personal success and balance through cultural empowerment. Our continuum of lifetime services create a wraparound, holistic healthy environment that is Youth Centered, Family Driven, Elder Guided.

Our mission is to enhance the diverse strengths of our youth and families in partnership with the community through cultural identity and education."
Native Americans in Philanthropy,,18010929,"2801 21st Avenue South, Suite 132D",Minneapolis,MN,55407,,56-1849598,For annual membership support for this organization that works to promote equitable and effective philanthropy in Native communities across the U.S.,2018 ,"$15,000 ",one year,,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PE060300,TA00 - Cash Grants,Grant,,Meyer-Designated Program,
New Venture Fund,,18010931,"1201 Connecticut Ave, Suite 300",Washington,DC,20036,,20-5806345,"To support the U.S. Impact Investing Alliance, which works to raise awareness of impact investing, support the growth of impact investing and help build the impact investing ecosystem with stakeholders",2018 ,"$45,000 ",one year,2025951061,SD000000 - Philanthropy,,,UN0000 - Program Development,Project Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The New Venture Fund, a 501(c)(3) public charity, was established in response to demand from leading philanthropists for efficient, cost-effective and time-saving project-implementation and intermediary services. NVF offers unobtrusive support and facilitation - focusing on enhancing our donors' ability to execute their visions"
Northwest Employment Education and Defense Fund,,17080734,"812 SW Washington, Suite 225",Portland,OR,97205,Multnomah,06-1669649,"To support efforts to protect low-wage, contingent and immigrant workers from exploitation; this grant was made as part of the Oregon Immigrant and Refugee Funders Collaborative, addressing critical and time-sensitive issues facing immigrants and refugees",2018 ,"$25,000 ",one year,5035258454,SR040100 - Immigrants' Rights,SN020300 - Employment,,UN0000 - Program Development,Project Support,,,,,7007708,"PG010000, PE050000",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"At the Northwest Employment Education and Defense Fund (NEED Fund), we believe that all workers share the fundamental human right to live and labor with dignity, safety and hope. To that end, NEED Fund is dedicated to strengthening and improving enforcement of the workplace and organizing rights of low-wage, immigrant and temporary workers in the Pacific Northwest. NEED Fund was founded as a 501(c)(3) nonprofit organization in 2003 along with its partner 501(c)(4) nonprofit organization, Northwest Workers' Justice Project (NWJP). NEED Fund carries out its program through a contract with NWJP."
Oregon Ballet Theatre,,17070713,0720 SW Bancroft Street,Portland,OR,97239,Multnomah,93-1009305,"To support the ballet during its 2017-18 season and the implementation of diversity, equity and inclusion strategies",2018 ,"$66,730 ",one year,5032270977,SA060101 - Ballet,SA060700 - Performing Arts Education,SR050000 - Diversity And Intergroup Relations,UA0000 - General Support,Operating Support,,,,,"7014273, 7007708",PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"For 25 years, Oregon Ballet Theatre has been a cultural leader in the Pacific NW, committed to sharing our passion for the expressive power of ballet, inspiring an enduring appreciation of dance and connecting in meaningful ways to our community, through excellence in performance, training and educational programs. Each year, OBT's productions reach over 70,000 audience members at top-tier venues, from loyal subscribers to low-income students attending at $2 a ticket. Our comprehensive Education Outreach programming improves access to dance and impacted 38,404 people last season, including 7,661 K-12 youth across 21 school districts. We are also proud to train the next generation of dance artists through the School of OBT and our junior ensemble, OBT2."
Oregon Community Foundation,,17120863,"1221 SW Yamhill Ave., Suite 100",Portland,OR,97205,Multnomah,23-7315673,"To create an evaluation framework for work that seeks to bridge divides and build social capital through dialogue, engagement and discussion",2018 ,"$15,000 ",one year,5032276846,SK040100 - Civic Participation,SR050000 - Diversity And Intergroup Relations,,UM0000 - Research And Evaluation,Project Support,UM0200 - Program Evaluations,Project Support,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,The mission of The Oregon Community Foundation is to improve life in Oregon and promote effective philanthropy.
Oregon Community Foundation - Meyer Memorial Trust Donor Advised Fund,,18031037,"1221 SW Yamhill St., Suite 100",Portland,OR,97205,Multnomah,23-7315673,To support the Meyer Memorial Trust donor-advised fund,2018 ,"$3,000,000 ",three years,5032276846,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,
Oregon Symphony Association,,17070717,921 SW Washington Ste 200,Portland,OR,97205,Multnomah,93-0446527,"To support the symphony during its 2017-18 season and the implementation of diversity, equity and inclusion strategies",2018 ,"$192,396 ",one year,5032284294,SA060305 - Orchestral Music,SR050000 - Diversity And Intergroup Relations,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Our mission is to serve our communities by creating outstanding live musical experiences. In the concert hall, we are furthering this mission by staging innovative new works and classical favorites for a growing and diverse audience. We are also bringing our art to those in our community who cannot meet us in the hall due to age, disability, or economic and social circumstances."
Peak Grantmaking,,17080725,"1666 K Street, NW - Ste 440",Washington,DC,20006,,74-3158155,For annual support of this organization that advances the knowledge and skills of grants managers,2018 ,"$2,400 ",one year,8884661996,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The Grants Managers Network improves grantmaking by advancing the knowledge, skills, and abilities of grants management professionals and by leading grantmakers to adopt and incorporate effective practices that benefit the philanthropic community."
Philanthropy Northwest,,18010923,"2101 Fourth Avenue, Suite 650",Seattle,WA,98121-1494,,91-1110995,"For annual membership and operating support for this organization that promotes, facilitates and drives collaborative action by community investors to build resilient, equitable and inclusive communities across the Northwest",2018 ,"$23,905 ",one year,2064438430,SD000000 - Philanthropy,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Philanthropy Northwest promotes, facilitates, and drives collaborative action by philanthropic organizations to strengthen communities in our region."
Philanthropy Northwest,,17120864,"2101 Fourth Avenue, Suite 650",Seattle,WA,98121-1494,,91-1110995,"To support the Philanthropy Northwest Momentum Fellows program, which prepares professionals from underrepresented communities for successful careers in the philanthropic sector",2018 ,"$29,896 ",one year,2064438430,SK020000 - Leadership Development,SD000000 - Philanthropy,,UN0000 - Program Development,Project Support,,,,,7007708,PE000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Philanthropy Northwest promotes, facilitates, and drives collaborative action by philanthropic organizations to strengthen communities in our region."
Philanthropy Northwest,,17070697,"2101 Fourth Avenue, Suite 650",Seattle,WA,98121-1494,,91-1110995,"To support three Philanthropy NW Momentum Fellows, a program designed to prepare professionals from underrepresented communities, particularly communities of color, for successful careers in the philanthropic sector through professional development, networking and mentoring opportunities",2018 ,"$252,535 ",one year,2064438430,SK020000 - Leadership Development,SD000000 - Philanthropy,,UN0000 - Program Development,Project Support,,,,,7007708,PE000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Philanthropy Northwest promotes, facilitates, and drives collaborative action by philanthropic organizations to strengthen communities in our region."
Portland Art Museum,,17070714,1219 SW Park Avenue,Portland,OR,97205,Multnomah,93-0391604,"To support the museum during its 2017-18 season and the implementation of diversity, equity and inclusion strategies",2018 ,"$165,338 ",one year,5032262811,SA070100 - Art Museums,SR050000 - Diversity And Intergroup Relations,,UA0000 - General Support,Operating Support,,,,,"7007708, 7014273",PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The mission of the Portland Art Museum is to engage diverse communities through art and film of enduring quality, and to collect, preserve, and educate for the enrichment of present and future generations."
Portland Center Stage,,17070716,128 NW Eleventh Ave,Portland,OR,97209,Multnomah,93-1134865,"To support this theater company during its 2017-18 season and the implementation of diversity, equity and inclusion strategies",2018 ,"$102,840 ",one year,5034453720,SA060200 - Theater,SR050000 - Diversity And Intergroup Relations,,UA0000 - General Support,Operating Support,,,,,7014273,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"
Portland Center Stage at The Armory (PCS) is on a mission to inspire our community by bringing stories to life in unexpected ways. Whether presenting a fresh take on a vintage musical or championing the premiere of a new play, we aim to tell stories that resonate with our times.  Each performance is an opportunity to spark imaginations, wrestle with our own humanity, and foster an expanded sense of community. We strive to make theater that lives on in our audience’s minds long after the actors take their bows.

Established in 1988 as an northern offshoot of Ashland’s Oregon Shakespeare Festival, PCS became an independent theater in 1994 and has been under the creative leadership of Artistic Director Chris Coleman since May 2000. We produce an annual season of 11-12 plays that present diverse voices, perspectives, and theatrical experiences – from enduring classics to world premieres by emerging talents. PCS is deeply invested in nurturing new work, particularly through our annual JAW (Just Add Water): A Playwrights Festival; to date, 62 plays commissioned or developed at PCS have gone on to be produced at more than 150 professional theaters throughout North America and the U.K. Since 2002, we have premiered 23 plays on our own stages, including Dan O’Brien’s multi-award-winning ""The Body of an American,"" Yussef El Guindi’s ""Threesome,"" and Part One of Chris Coleman’s epic, ""Astoria.""

In addition to investing in our creative work, PCS is dedicated to fostering community connection, engaging young people, and nurturing future arts audiences through a wide array of education and community programs. Since moving into The Armory in 2006, our goal has been to make our home an active and welcoming space for all. Each year we partner with more than 150 artists and organizations, such as Central City Concern, Theater Diaspora, Oregon Humanities, Oregon Nikkei Legacy Center, Partners in Diversity, Stumptown Speakers Series, and the YWCA. In 2016/17, more than 20,000 people participated in programs like our “Performance Perspectives” conversation series, Community Artist Labs, pre-show Happy Hours, visual arts exhibits, and First Thursday music concerts, to name a few. Nearly 8,000 young people participated in our arts learning programs for youth, which include free in-school residencies in playwriting and theater fundamentals, Stage Door performances and workshops, Summer Teen Intensives, and the PCS Teen Council, as well as internship and job shadowing opportunities.

Overall, PCS now serves more than 150,000 people annually and employs more than 450 artists, artisans, production personnel, staff, and contractors."
Portland Community College Foundation,,17080735,PO Box 19000,Portland,OR,97280,Multnomah,93-0811291,"To support the launch of a DREAM center at the Multicultural Center on Portland Community College's Rock Creek Campus, helping undocumented students fulfill their dreams for post-secondary education; this grant was made as part of the Oregon Immigrant and Refugee Funders Collaborative, addressing critical and time-sensitive issues facing immigrants and refugees",2018 ,"$50,000 ",one year,9717224382,SS090300 - Immigrant Services,SB050300 - University Education,SB050100 - Community College Education,UN0000 - Program Development,Project Support,,,,,1002994,"PJ050100, PG010700",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Mission
The PCC Foundation's mission is to enrich lives and strengthen our region through support of education at PCC. We believe all students in our region deserve to have access to an excellent education at PCC and the support needed to succeed, regardless of their ability to pay."
Portland Opera Association,,17070715,211 SE Caruthers Street,Portland,OR,97214,Multnomah,93-6034321,"To support the opera during its 2017-18 season and the implementation of diversity, equity and inclusion strategies",2018 ,"$88,082 ",one year,5032411407,SA060304 - Opera,SR050000 - Diversity And Intergroup Relations,,UA0000 - General Support,Operating Support,,,,,"7014273, 7007708",PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Portland Opera exists to inspire, challenge, and uplift our audiences by creating productions of high artistic quality that celebrate the beauty and breadth of opera."
Pride Foundation,,17110810,"2014 E. Madison St, Suite 300",Seattle,WA,98122,,91-1325007,To increase private giving to support Pride Foundation's grantmaking efforts to expand opportunities and advance full equality for LGBTQ people in Oregon,2018 ,"$25,000 ",one year,2063233318,SD000000 - Philanthropy,,,UG0500 - Fundraising,Capacity Building,,,,,7007708,PC010000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Pride Foundation is a regional community foundation serving the Northwest region of Alaska, Idaho, Montana, Oregon, and Washington.
Pride Foundation inspires giving to expand opportunities and advance full equality for LGBTQ people across the Northwest.
We envision a world in which all LGBTQ youth, adults, and families enjoy the freedom to live safely, openly, and genuinely."
Pride Foundation,,17110809,"2014 E. Madison St, Suite 300",Seattle,WA,98122,,91-1325007,To integrate racial equity throughout Pride Foundation,2018 ,"$50,000 ",one year,2063233318,SR050000 - Diversity And Intergroup Relations,,,UD0100 - Technical Assistance,Capacity Building,,,,,7007708,"PC010000, PE000000",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Pride Foundation is a regional community foundation serving the Northwest region of Alaska, Idaho, Montana, Oregon, and Washington.
Pride Foundation inspires giving to expand opportunities and advance full equality for LGBTQ people across the Northwest.
We envision a world in which all LGBTQ youth, adults, and families enjoy the freedom to live safely, openly, and genuinely."
Pride Foundation,,17110808,"2014 E. Madison St, Suite 300",Seattle,WA,98122,,91-1325007,For capacity building to expand opportunities and advance full equality for LGBTQ people in Oregon,2018 ,"$150,000 ",three years,2063233318,SR040600 - Lgbtq Rights,SR010000 - Individual Liberties,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,UN0000 - Program Development,Project Support,,,7007708,PC010000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"Pride Foundation is a regional community foundation serving the Northwest region of Alaska, Idaho, Montana, Oregon, and Washington.
Pride Foundation inspires giving to expand opportunities and advance full equality for LGBTQ people across the Northwest.
We envision a world in which all LGBTQ youth, adults, and families enjoy the freedom to live safely, openly, and genuinely."
Rural Development Initiatives,,18031081,"150 Shelton-McMurphey Blvd, Suite 201",Eugene,OR,97401,Lane,93-1073746,"To support the ""Regards to Rural 'Bridges Between Rural and Urban'” conference, which brings together 400 people from across the Pacific Northwest to strengthen and celebrate rural people, places and economies",2018 ,"$7,500 ",one year,5416849077,SN020200 - Rural Development,,,UJ0200 - Conferences,Project Support,,,,,7007708,"PR00001, PA000000",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"RDI strengthens rural people, places, and economies in the Pacific Northwest."
Rural Organizing Project,,17040639,PO Box 664,Cottage Grove,OR,97424,Columbia,93-1159856,To bridge divides in Oregon through education and dialogue about pressing civil rights issues,2018 ,"$1,000 ",one year,5035438417,SR000000 - Human Rights,,,UA0000 - General Support,Operating Support,,,,,7007708,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The Rural Organizing Project exists to strengthen the skills, resources, and vision of primary leadership in local, autonomous human dignity groups with the goal of keeping such groups on a vibrant course for a just democracy."
Rural Organizing Project,,17040642,PO Box 664,Cottage Grove,OR,97424,Columbia,93-1159856,"To support the efforts of rural communities to defend and protect immigrants and refugees impacted by deportation activities (awarded as a part of the Oregon Immigrant and Refugee Funders Collaborative, which addresses critical and time-sensitive issues facing immigrants and refugees)",2018 ,"$26,000 ",one year,5035438417,SR040100 - Immigrants' Rights,,,UD0000 - Capacity Building And Technical Assistance,Capacity Building,,,,,7007708,PG010000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The Rural Organizing Project exists to strengthen the skills, resources, and vision of primary leadership in local, autonomous human dignity groups with the goal of keeping such groups on a vibrant course for a just democracy."
Rural Organizing Project,,18010917,PO Box 664,Cottage Grove,OR,97424,Columbia,93-1159856,"For statewide organizing to defend and protect rural immigrants and refugees, including trainings, local inclusivity campaigns, rapid response infrastructure building, intervention with law enforcement and building support for statewide advocacy; this grant is made as part of the Oregon Immigrant and Refugee Funders Collaborative, addressing critical and time-sensitive issues facing immigrants and refugees",2018 ,"$26,000 ",one year,5035438417,SR040100 - Immigrants' Rights,,,UK0100 - Advocacy,Project Support,UK0400 - Grassroots Organizing,Project Support,,,7007708,"PR00001, PG010000, PG010400",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"The Rural Organizing Project exists to strengthen the skills, resources, and vision of primary leadership in local, autonomous human dignity groups with the goal of keeping such groups on a vibrant course for a just democracy."
Southwest Washington Regional Health Alliance,Southwest Washington Accountable Community of Health,17100791,"2404 E. Mill Plain Blvd, Suite B",Vancouver,WA,98661,,46-2164971,To support Healthy Living Collaborative of Southwest Washington in establishing a team of community health workers in Vancouver's Rose Village neighborhood,2018 ,"$39,337 ",one year,,SE040200 - Community Health Care,,,UN0000 - Program Development,Project Support,UJ0000 - Network Building And Collaboration,Project Support,,,2117023,PG030200,TA00 - Cash Grants,Grant,,Meyer-Designated Program,
St. Vincent de Paul Society of Lane County,,17070721,PO Box 24608,Eugene,OR,97402,Lane,93-0454786,"For education and dialogue about the role manufactured homes play in Oregon's affordable housing landscape, particularly in rural communities",2018 ,"$1,000 ",one year,5416875820,SN040000 - Housing Development,SS000000 - Human Services,,UA0000 - General Support,Operating Support,,,,,2001716,"PG030200, PR00001",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"We assist the poor and those in need of consolation, seeking out and utilizing every resource.  Being mindful of the sanctity and dignity of all, any charitable work that advances those goals is within the mission of St. Vincent de Paul Society of Lane County, Inc."
Toledo Community Foundation,,18010916,PO Box 2000,Newport,OR,97365,Lincoln,93-1156570,To support the Toledo Community Boathouse,2018 ,$500 ,one year,,SN000000 - Community And Economic Development,,,UA0000 - General Support,Operating Support,,,,,2085643,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,
Umpqua Community Development Corporation,NeighborWorks Umpqua,17070720,605 SE Kane Street,Roseburg,OR,97470,Douglas,93-1057208,"For education and dialogue about the role manufactured homes play in Oregon's affordable housing landscape, particularly in rural communities",2018 ,"$1,000 ",one year,5416734909,SN040000 - Housing Development,,,UA0000 - General Support,Operating Support,,,,,7007708,"PR00001, PG030200",TA00 - Cash Grants,Grant,,Meyer-Designated Program,"NeighborWorks Umpqua is a rural-focused housing and community development corporation committed to promoting opportunity for all. We will do this by providing quality housing, community development, property management, financial services, education, and advocacy in order to attain economic, social and environmental sustainability, and equity."
United Way of Jackson County,,18010920,60 Hawthorne St.,Medford,OR,97504,Jackson,93-0576632,"To support the 2018 Oregon Nonprofit Leaders Conference, which brings together nearly 300 nonprofit organizations from across the state to learn, think and network with Pacific Northwest grantmakers",2018 ,"$4,500 ",one year,5417735339,SD000000 - Philanthropy,SD030000 - Nonprofits,,UJ0200 - Conferences,Project Support,UG0800 - Sponsorships,Capacity Building,,,2001711,PA000000,TA00 - Cash Grants,Grant,,Meyer-Designated Program,United Way of Jackson County's mission is to improve lives by mobilizing the caring power of Jackson County communities.
